Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
Ouija Seance: The Final Game,533527,tt8655708,2018-07-02,"Sarah and her friends decide to spend the weekend at an old villa Sarah mysteriously inherited. After finding a Ouija Board in the attic, Sarah and her friends unknowingly awaken an evil ...","Sarah and her friends decide to spend the weekend at an old villa Sarah mysteriously inherited. After finding a Ouija Board in the attic, Sarah and her friends unknowingly awaken an evil force connected to the villa’s hidden secrets. To fight the unimaginable horror they will have to face their darkest fears and worst nightmares.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[27]
Walden,533542,,2018-07-02,,A documentary comprising a thirteen 360° panning shots that gradually reveal the environments and conditions in which wood is transported from Austria to Brazil.,en,Released,0,,,,,,,[]
Horndogs Beach Party,533566,tt8363908,2018-06-30,,"Two best friends rent a beach house for the weekend only to discover it’s been double booked so they’ll have to share the place... with two beautiful women! To win the affection of these gorgeous gals our wannabe studs must throw the best beach bash ever to win the legendary Horndogs Beach Party. However a nosey neighbor and some selfish dude-bros have sabotage on their minds. Will our heroes win the girls' hearts? Can this be the greatest beach party ever? What time is the wet t-shirt contest? All will be revealed. Don’t forget the lotion... the sun screen, you perverts.",en,Released,0,,,,,,,[35]
Twig,533648,,2018-07-03,,Twig fights his best friend and lives in a cemetery.,en,Released,0,,,,,,,"[18, 35]"
Recall,533741,tt3754662,2018-07-03,"When given the chance at a fresh start, a grief-stricken young man and his coked-up step-brother must confront a local mafia kingpin and perhaps something even more dangerous - their past.","When given the chance at a fresh-start, a grieving young man and his coked-up stepbrother, must confront a local mafia kingpin and perhaps something even more dangerous - their past.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[80, 18, 53]"
(un)MUTE,533756,tt8473810,2018-07-01,,"Art unmutes the silenced, questions, accepts, erases borders, brings people together and also, makes us humans.",en,Released,0,,,,,,,[]
One Less God,471317,tt3418424,2018-07-05,A group of international travelers struggle to survive when Islamic extremists besiege their luxury Indian hotel. Inspired by true events.,"When Islamic fundamentalists besiege an Indian hotel, the guests battle to escape the systematic extermination and their own conflicting ideologies. Inspired by true events.",en,Released,0,,N/A,7.0,31,N/A,N/A,"[80, 28]"
Bellator 201: Macfarlane vs. Lara,531873,,2018-06-29,,"Bellator 201: Macfarlane vs. Lara took place on June 29, 2018 at the Pechanga Resort and Casino in Temecula, California. The event aired live in prime time on Paramount Network.",en,Released,0,,,,,,,[]
The Challenge: Everest,533156,,2018-06-30,,"In a journey that captures the mental and physical toll of the 8,848-meter climb – which has claimed the lives of nearly 300 people – The Challenge: Everest accompanies Fogle and Pendleton during their six-day trek to base camp, acclimatisation on Everest and final ascent to reach the summit.",en,Released,0,,,,,,,[]
Minutes to Midnight,365651,tt3079568,2018-07-03,"On the cusp of New Year's Eve, seven friends and a mysterious backpacker converge at a desolate ski lodge in the mountains when they are systematically hunted down by ruthless masked men with a cryptic agenda.","On the cusp of New Year's Eve, seven friends and a mysterious backpacker converge at a desolate ski lodge in the mountains when they are systematically hunted down by ruthless masked men with a cryptic agenda.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[27, 28]"
Winterlong,531746,,2018-06-30,,"When his estranged wife deposits his teenage son Julian at the doorstep of his remote caravan home, solitary (though charming) poacher Francis must amend his ways, take on new responsibilities and engage with the world. But just as the two begin to bond, Julian takes a friend into the woods where an accident occurs that puts them under the authorities’ spotlight. They must make a decision that will forever change their lives.",en,Released,0,,,,,,,[]
Who's Watching Oliver,448561,tt6158692,2018-07-03,Who's watching Oliver tells the story of a mentally unstable loner lost in a life forced upon him. By night Oliver aimlessly wanders the streets and bars on what can only be described as a ...,Who's watching Oliver tells the story of a mentally unstable loner lost in a life forced upon him. By night Oliver aimlessly wanders the streets and bars on what can only be described as a truly shocking and humiliating killing spree. His only savior and possible way out of a life he is desperate to escape comes in the form of the beautiful Sophia with her sweet eccentricity and naivety to the danger she has put herself in.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 27]"
Nuuca,476280,,2018-07-02,,"In this evocative meditation, a disturbing link is made between the resource extraction industries’ exploitation of the land and violence inflicted on Indigenous women and girls. Or, as one young woman testifies, “Just as the land is being used, these women are being used.”",en,Released,0,,,,,,,[]
22 Chaser,531647,tt5130442,2018-07-06,One of the city's last decent tow truck drivers risks everything on a desperate quest to become king of the road and provide for his struggling family.,One of the city's last decent tow truck drivers risks everything on a desperate quest to become king of the road and provide for his struggling family.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Specialised Technique,534194,,2018-07-05,,"William Sellers and the Colonial Film Unit developed a framework for colonial cinema, this included slow edits, no camera tricks and minimal camera movement. Hundreds of films were created in accordance to this rule set. In an effort to recuperate black dance from this colonial project, Specialised Technique, attempts to transform this material from studied spectacle to livingness.",en,Released,0,,,,,,,[]
